O3factor0.0,O3factor0.05,O3factor0.25,O3factor0.5,O3factor0.75,O3factor1.0,O3factor1.25,O3factor1.5,O3factor1.75,O3factor2.0,O3factor2.5,O3factor3.0,O3factor3.5,O3factor4.0,O3factor4.5,O3factor5.0,O3factor6.0,O3factor7.0,O3factor8.0,O3factor10.0
288.0609046049728,288.06739764600144,288.09628064578396,288.1084642617816,288.11886926387024,288.19999999999993,288.20851412999644,288.21703326461494,288.23847840048893,288.2457242187082,288.25898405281094,288.2710156171323,288.2823477280246,288.38047652723384,288.39099586297755,288.4003963475671,288.4183455326802,288.4347210407426,288.45014069591554,288.47875454166785
281.57125783454694,281.5793496688723,281.62237783644713,281.63678810731466,281.6488631619438,281.69999999999993,281.70980966814585,281.7205950996862,281.75234647452123,281.76031569113616,281.77684915458457,281.7903412543767,281.8030825172489,281.880695206765,281.8924111891406,281.9029083701485,281.922948996282,281.94267595269196,281.95922782367285,281.99056518811943
275.0767192446256,275.08764280982416,275.14889761249947,275.16862983173377,275.18274502322214,275.19999999999993,275.21124375950984,275.22440844839656,275.2714020706544,275.2802154551809,275.29948346424163,275.31319011749457,275.3278376874544,275.3866236753832,275.39907610134395,275.41090555500614,275.4328911097879,275.45476152493706,275.47448137484713,275.5091585191616
268.5843307150113,268.59825066060876,268.6888651399863,268.70970175288426,268.7259485229291,268.69999999999993,268.71282074179106,268.7296434800092,268.801828084321,268.8130295333675,268.8337408848715,268.8520668272743,268.868177469919,268.90908840367695,268.92310741228226,268.9374977635953,268.96189338547856,268.98402810892674,269.0055053554082,269.04228713496036
262.086498721415,262.10470230392974,262.25524535583077,262.2798611260709,262.2983859361526,262.1999999999999,262.2149523418286,262.23558367061753,262.36163377861567,262.3734670330089,262.39837035692113,262.41749561724373,262.43515420294017,262.45748038297955,262.4728067282268,262.48722958947326,262.51566913793044,262.5386646076802,262.5610919814657,262.602126755922
255.59185251941682,255.6123118486835,255.72431906546757,255.7531034915966,255.7747880036255,255.6999999999999,255.71715346324174,255.74316706123756,255.8201527647055,255.8327383877793,255.86468742136475,255.88556892765655,255.90630154578068,255.90876758858218,255.92622030725664,255.94384563715622,255.9736536166228,255.99980030722904,256.0246238532006,256.06816341762175
249.08662762929237,249.1137467921173,249.19207408263966,249.22601224013027,249.24972723444284,249.19999999999987,249.21881496050403,249.25630793700145,249.28277568732847,249.29728124983785,249.33886600429398,249.3633089848635,249.3839588975782,249.36322711987793,249.38269608279157,249.4016963524066,249.43399757117126,249.46506512211562,249.49224624570962,249.53641039902163
242.57330359710116,242.6131175378735,242.65682057997043,242.69845472636504,242.72757264687036,242.69999999999993,242.72166449705446,242.77841081506415,242.7415585732253,242.75793109450635,242.80733644975462,242.8373819590223,242.86293878325705,242.81111568335078,242.83284451882855,242.8524491676785,242.89068953417345,242.92561506837117,242.95629582756834,243.0130354508916
236.05867672207256,236.11964190249614,236.11274072685435,236.16340120989653,236.19666686890898,236.19999999999993,236.2274458259518,236.3343313474295,236.1842076339337,236.20483984656641,236.2762817487514,236.31099523756401,236.34221601949596,236.2524785409825,236.27603093022518,236.29853491699046,236.3427712861669,236.38040265339308,236.41526384232228,236.47629792522864
229.49158229187066,229.6132347626171,229.51124208376808,229.57796493865538,229.62469647725612,229.69999999999993,229.7336783245913,229.66716839217654,229.56250473052944,229.58609548963955,229.69586452469963,229.73561621050015,229.7673783004562,229.6124514014833,229.64238643756644,229.67032741542178,229.7197179143804,229.7637760021585,229.80348024290933,229.87435611561907
