CH4factor0.0,CH4factor0.05,CH4factor0.25,CH4factor0.5,CH4factor0.75,CH4factor1.0,CH4factor1.25,CH4factor1.5,CH4factor1.75,CH4factor2.0,CH4factor2.5,CH4factor3.0,CH4factor3.5,CH4factor4.0,CH4factor4.5,CH4factor5.0,CH4factor6.0,CH4factor7.0,CH4factor8.0,CH4factor10.0
286.37657882045403,286.6688769874982,287.25534075730445,287.65477495149776,287.9603838344204,288.19999999999993,288.41519263080005,288.5186326390769,288.6888213437417,288.8421009335308,289.0582238176026,289.22826935462825,289.4398882173337,289.6275923307775,289.80349244562825,289.90750037455473,290.1808054441495,290.43702247163185,290.57677061864416,290.95828242750076
279.9023559276875,280.1877223681531,280.7775707820064,281.1590160752195,281.4642943492248,281.69999999999993,281.91969521150196,282.0521624684083,282.22590593480646,282.3828730135248,282.5534411017129,282.77387129104636,282.9908045210057,283.18163059926246,283.36035507214115,283.41676593707734,283.6848035192116,283.9484111899067,284.1154401744599,284.499042329693
273.4657971265746,273.7512031994166,274.3438450277851,274.68274130488976,274.97599775639975,275.19999999999993,275.42025043110914,275.5752262595537,275.7514864669849,275.90981624032185,276.1105552045017,276.2760528009827,276.4947450303723,276.68540188268895,276.8665476845335,276.95345544782623,277.20584146302105,277.4729953661662,277.6636983534856,278.03788805241527
266.97358601687455,267.26209366479276,267.8632602236142,268.2504088200539,268.51051284031274,268.69999999999993,268.91723937108577,269.09033638398904,269.2640010118953,269.4212968164131,269.6428192389715,269.8340476619024,270.0515963019107,270.2328652148211,270.4138691744134,270.52196069206855,270.73253570889926,270.9962525400761,271.2050305820324,271.5531025676365
260.52446291052144,260.8200099350951,261.4314649294565,261.7367207558217,262.0759340992239,262.1999999999999,262.4055173797916,262.5966845044456,262.7636254251974,262.9113434750585,263.14582395786647,263.3539239733006,263.56586178866456,263.7291456739861,263.9006582790746,264.02801794795704,264.2870080583371,264.5429914385468,264.76333775136186,265.04743798745744
253.94759626015238,254.2544179261867,254.91280660328584,255.23231963855838,255.54898109734486,255.6999999999999,255.89409206481616,256.0969358238531,256.2526099976346,256.3932782610711,256.63263646481033,256.85357371029085,257.052561387265,257.1704136499827,257.3362153307383,257.4713977847328,257.7952326984925,258.03458078911797,258.2599115882525,258.56737798484664
247.47831477934776,247.79966918987262,248.39907096956176,248.73214972923213,249.02073393650497,249.19999999999987,249.36941969831184,249.599612722853,249.74286125066416,249.87048067156724,250.1104384399669,250.34346347752077,250.524106384746,250.74264624941765,250.89331895793194,251.0423473311006,251.2870562409508,251.50380948486315,251.73537360437047,252.05022941236876
240.96864156888452,241.31097351115037,241.86655059675937,242.2130986942186,242.48359602110276,242.69999999999993,242.84415598808658,243.11545852785721,243.24430381262647,243.35729187664927,243.60089888277398,243.85603264310788,244.0173001396889,244.1996538824084,244.33543111239143,244.49656504532646,244.83143081138957,245.0203610618227,245.2597634823571,245.5741653206852
234.41928789647258,234.79601255599027,235.30221595902572,235.68041124744576,235.92851327456708,236.19999999999993,236.3170124672502,236.68496990178,236.79949398802003,236.89803277726628,237.14643388047202,237.44216124675356,237.58220686980488,237.7413602180518,237.85815657843744,238.04610409900877,238.32100870797447,238.4790234724189,238.72603191980272,239.05212055913069
227.78343316056973,228.1965391189528,228.65034322850232,229.0581268177453,229.30359065790876,229.69999999999993,229.74508573176445,230.0552727788729,230.15668973298497,230.24227103020976,230.50527809200082,230.9163238234922,231.0369817407519,231.16746106090474,231.2756850353391,231.49623021005453,231.7268711045045,231.84233199654045,232.12021686513467,232.48207639182536
221.43040490673886,221.8761640483158,222.25856316236823,222.7363052520479,222.96394139418695,223.29999999999995,223.5551065791487,223.82240306733686,223.91346372931102,223.9702681356158,224.29062579939148,224.59890870704325,224.70857258448757,224.82704202964982,224.90674087706233,225.19908431860097,225.3935413527048,225.4506359914584,225.78019701208265,226.24632593690995
215.00043224566906,215.46155349605385,215.71462940819544,216.29720919578716,216.51005560363433,216.79999999999995,217.00184573347323,217.23750808055996,217.32125148165602,217.33355821260548,217.72321052196867,217.9948084949234,218.08912193746474,218.18194499466264,218.25173525757208,218.7135184561219,218.8837074325416,218.78886086227166,219.28303096756227,219.6312064461937
215.3104840130479,215.7394481642405,215.6737504963425,216.35836321043917,216.50525896515722,216.69999999999996,216.82191819467124,216.97882370514998,217.02022114026263,216.88467677906903,217.3971144378217,217.56512806657759,217.5930351900875,217.6335914736137,217.65905902492057,217.9407710458516,218.01685248054088,218.07209862242266,218.35996249930102,218.5543864711775
215.79525224845796,216.18695205603728,216.1621481752066,216.5490895625872,216.6049762682998,216.69999999999996,216.74074101378767,216.81739838189552,216.8067516278536,217.04622362604928,217.29456745098386,217.35837176584442,217.32731549668486,217.30374056378378,217.27203641614818,217.426726810922,217.400151941672,217.67709743539302,217.8251557809026,217.84790521198414
216.25706950061817,216.6002788540764,216.51485028849086,216.71686490034534,216.6886289885955,216.7,216.6738395406274,216.68577085128896,216.63054503064714,216.6922478775911,216.7923005141081,216.77610192872004,216.68858627488999,216.6136058176303,216.53585904052485,216.60624048556855,216.49703995676956,216.54041053032668,216.5812947187599,216.4703337711829
216.69770726909698,216.98644335739613,216.81255704293838,216.86865920274593,216.76176445467237,216.69999999999996,216.61602232957264,216.5734364422853,216.4794587055903,216.4641263371259,216.46127887351082,216.38130978288493,216.24774664140838,216.13004919708482,216.01374340409367,216.021758533262,215.8427327944266,215.77064152161395,215.72937442115102,215.50571801599898
217.10852342488354,217.33916407771463,217.0699428731132,217.00305757330855,216.82511952233332,216.7,216.56638446739598,216.4776891500589,216.3505872400048,216.28612629450987,216.20579831343628,216.07488267217317,215.9044026378726,215.75247574708587,215.605218195317,215.5658007505867,215.33001740799523,215.18065415099113,215.07439907193609,214.75690369842314
217.478373170831,217.6511848475318,217.2904539633801,217.1185257894868,216.87885281030992,216.70000000000002,216.52441780161175,216.39675231430633,216.24150017942603,216.14083230038054,215.9990755639218,215.82664637728638,215.6264791221571,215.447352523889,215.2757395221612,215.19967506203173,214.91919752989986,214.71374732530097,214.55608104557095,214.16209550892418
217.7925017854497,217.91176108069783,217.47160783050307,217.212342857067,216.92208985720873,216.70000000000002,216.49076677721004,216.33138384465997,216.1532209785999,216.02486867044297,215.83400669832403,215.6279152402968,215.40425348249684,215.20402669276947,215.01398010005497,214.90997048371622,214.59654852502834,214.3512752819642,214.15511763811637,213.70383649883203
218.04213916439718,218.11483438520332,217.61272451010439,217.28394189741437,216.95484814763745,216.70000000000002,216.46553929411604,216.28162299198738,216.08589197802104,215.93642538211475,215.70625731097618,215.47276938654414,215.23033043569149,215.01346319752224,214.80928312767523,214.68341790917844,214.34605578846737,214.07280900629914,213.84873735768286,213.35777179877422
218.24244903395834,218.27549137030374,217.72501766351067,217.34010362965665,216.9803706092413,216.69999999999996,216.4461809645446,216.2429624645845,216.03345539841473,215.86726920672433,215.6045052170831,215.34744325920283,215.08851309898301,214.85696727244104,214.6404259472222,214.49596433418668,214.1388597263394,213.84410171599828,213.59871573207175,213.08005718129925
219.31410864624215,219.31214245968994,218.7230131112155,218.28962562897874,217.90318718737902,217.59999999999997,217.32858854216633,217.10748773064304,216.88487674355525,216.70294998413118,216.40823026104346,216.12628753844118,215.848404403336,215.59932059431995,215.36734984860448,215.20201569789472,214.8195971055525,214.49956811858604,214.22990059360956,213.67923712274936
220.44408946426898,220.41222108934107,219.7964058222649,219.32556633171208,218.91993906161937,218.59999999999997,218.31571082219463,218.0810563887122,217.84885825384737,217.65501572655188,217.33514744620302,217.03317144974784,216.73960130197872,216.47537140319153,216.22959536363885,216.04538367031904,215.63899277427046,215.29515063867765,215.0025489294853,214.42176405933068
221.54404065715548,221.48692845535524,220.8529454967595,220.35213833723634,219.93220838480744,219.6,219.30626674213065,219.06122995590837,218.82178637202594,218.61875354238668,218.27915404704012,217.9613817585491,217.65524328314808,217.37841831201453,217.12071310723744,216.91995621562654,216.49110825349106,216.12441881051413,215.80939042303197,215.19725774692793
222.62866329892012,222.55017541320643,221.90285319746172,221.37549474140096,220.94258810284916,220.6,220.2984558781742,220.04472817571218,219.79901884870003,219.58807270862866,219.231450347986,218.9000015169504,218.5829479788008,218.29515195736911,218.0268760969055,217.81155511799003,217.361633834555,216.97287020016785,216.63557712329455,215.98944129536628
223.6780630547815,223.5819647636634,222.93285564402225,222.3883015180051,221.94801135193808,221.6,221.2952411497577,221.03723005040385,220.78908070301443,220.57387564731803,220.20669304397757,219.8670100198058,219.5439396615989,219.24991457955497,218.97561423483708,218.75043496876935,218.28731749177632,217.88334660157028,217.5294858164965,216.85711045391795
224.66879737680958,224.55776347029854,223.91328517505116,223.35716306779838,222.91172212954828,222.55999999999997,222.25363467601375,221.99320990206783,221.7442918792807,221.52664546904276,221.15229870893617,220.80697964660234,220.4799613723326,220.18173301695242,219.9034454880343,219.6709520850258,219.19901631227322,218.78427982154625,218.4179672682123,217.7250923748171
225.65821779009843,225.532408754329,224.89306416051045,224.32722715727243,223.87611279905295,223.51999999999998,223.2113886020424,222.94834122551416,222.69846633975206,222.47856354253685,222.09781455496847,221.74733769096423,221.41649903527528,221.1141731670434,220.8320128008443,220.5928583659982,220.11306442412962,219.68927708195116,219.3126886161306,218.60302938399556
226.68799698197972,226.5455659543885,225.90432092896776,225.3253830347816,224.86416513521564,224.5,224.18593555155297,223.91776152010036,223.66454460752442,223.44054574530446,223.05063082913722,222.69241796572982,222.3551573752549,222.04635720056277,221.75806996528644,221.51070632460164,221.0195344030438,220.58423557512177,220.19591728035599,219.467525219646
227.73379274282902,227.5745669693495,226.93045110537312,226.34218395028293,225.87178630969507,225.5,225.1808506302922,224.9081116293225,224.65206365142186,224.42464779452385,224.02704281361892,223.66227665435397,223.31946258012712,223.0049279165024,222.71112573602832,222.45634941396952,221.95482112369695,221.50921292340732,221.11066231944514,220.36705128514518
228.77597088221688,228.59963723305933,227.95012055867258,227.3568684065952,226.87881261581262,226.5,226.17631122007433,225.8998203800237,225.64182344445905,225.4120659719929,225.0090435624801,224.63961251016246,224.2926404096329,223.97342518668242,223.67487049705272,223.41345185600812,222.9024068106095,222.4472723135386,222.03937848353326,221.28250044573278
230.23421075092313,230.03935485839494,229.37518701723096,228.77633121990263,228.28874156447444,227.9,227.56896369089694,227.2865614785131,227.02487191065572,226.79159616780933,226.38178549500637,226.00659822431015,225.65418008008612,225.32876231689897,225.02361786214593,224.75373315847068,224.22850585503895,223.75902875444658,223.33715388173775,222.5581802008558
231.675076236622,231.46379475774165,230.78376936938483,230.18603937734278,229.69524636479,229.3,228.96361768405944,228.67696138927403,228.41328574720077,228.17846409312827,227.7665230771087,227.39073421036775,227.0380359777654,226.71128189186973,226.4039171664723,226.12944223368234,225.59605052968172,225.11652354967862,224.68372509266368,223.88654429128346
233.7071940478812,233.4817475843074,232.78273221268378,232.18821369727007,231.69909667044402,231.3,230.9590481431181,230.66813146733156,230.40229240598447,230.16595132501126,229.75286484725385,229.3785852363349,229.02846105350307,228.70357491458842,228.39720464601288,228.12120571370625,227.58462201255435,227.09846360692336,226.65672194279924,225.84205164402363
236.35677598633097,236.11804007323133,235.39119283700165,234.79272201144417,234.3040027762562,233.90000000000003,233.5520667853175,233.25371486418254,232.98217908119332,232.7410269573647,232.32145621958173,231.94497575992324,231.59514875793863,231.27103858858976,230.96533505770083,230.68816451190702,230.14914370910495,229.6569428674341,229.20619361924963,228.37103068227307
238.9996343952786,238.75099332004078,237.99655997832164,237.39107457532134,236.90506718137297,236.50000000000003,236.1477389746888,235.84316071214715,235.56601412341078,235.31964962448941,234.89254255804443,234.5134075212885,234.16448292389072,233.84288309234088,233.54049479606212,233.26562406534129,232.73200993831605,232.2421299485628,231.7904181199433,230.94813774533742
241.57149754131893,241.31893293430866,240.54765980473607,239.93754908206688,239.45902665384727,239.06000000000006,238.71023511906415,238.40480401349365,238.1258539858402,237.87688845825565,237.44533399233873,237.06555709541593,236.71965726107302,236.40330139858162,236.1076995579079,235.83933633607248,235.32111079864782,234.84486667448033,234.40394221893476,233.57719085334233
244.1276306002713,243.87575283281006,243.0965402181964,242.4813484573816,242.01005455644722,241.6200000000001,241.27719291011636,240.97529353400142,240.6979734159349,240.44876971059782,240.01479543483845,239.63421840780242,239.29041972287746,238.97848408511595,238.68934419949932,238.4279063262077,237.9278262224519,237.47031857779896,237.04690014544195,236.25136985055906
246.89502974621936,246.64762436212106,245.8693342653832,245.24867715880643,244.78164674330768,244.4000000000001,244.0660624600609,243.77089880447704,243.49855043668666,243.2519880418464,242.81903825711328,242.4382491826695,242.09534978259046,241.78584143096936,241.5010231887959,241.24467786214547,240.76043248663618,240.3216527977177,239.9178160723745,239.1620034706479
249.8767000062667,249.63686045638278,248.86822614745944,248.2431389258055,247.77654882617205,247.4000000000001,247.0737579317254,246.78615705160988,246.52078141920117,246.27935529381392,245.8518739663293,245.47313820076562,245.13115862714778,244.82249486805867,244.53945771985119,244.28531179744934,243.81104288435878,243.38643149632935,242.99942477978277,242.28281924159975
252.85601151428224,252.62555087201548,251.87308724433151,251.24556524248715,250.7760832400752,250.40000000000006,250.0776878130847,249.79557775317582,249.5366454601848,249.30105872977066,248.88223516164945,248.50871386924553,248.16941916889286,247.8617333243696,247.57917658778052,247.32498077348768,246.85429297347451,246.4369561454472,246.06060342995784,245.3744794907751
255.58923739222874,255.36935015403506,254.6386638009677,254.012566363284,253.53918538379418,253.16000000000008,252.8373854374638,252.5571337956086,252.30205034575727,252.0709494143067,251.66106726294998,251.2951810624871,250.96135513102243,250.65678276108196,250.37570698137893,250.12136369299733,249.65082617391923,249.2347735708235,248.86205306236883,248.19262241040275
258.30450105062886,258.09677694729686,257.39520470404733,256.777552365665,256.3029309917833,255.9200000000001,255.5944994899351,255.3127971405921,255.0582739412162,254.82892781344333,254.424863095101,254.0663539454092,253.73963626172267,253.4406744168002,253.16358228166064,252.9111365019686,252.44222142785856,252.0255636704296,251.65202503373206,250.9863144245742
261.00188748337933,260.80724532666846,260.1400900394791,259.5374703484471,259.0655240109752,258.68000000000006,258.35055788712975,258.06491954210526,257.80766466263674,257.5765581402509,257.1719557706825,256.8164216450383,256.49463914299474,256.2010061963682,255.92890256069379,255.680113201919,255.2164886645151,254.8014485645533,254.42704250507293,253.7586121313197
263.6757385719134,263.49504285116643,262.8675165868333,262.28739827341803,261.8241546659311,261.44000000000005,261.1085257906887,260.81915425050425,260.55803342512064,260.3231359191774,259.912568924217,259.5543387053994,259.2327469949519,258.94114016482496,258.6722129067156,258.4266207192852,257.970025765119,257.5600349735468,257.18809312495245,256.5196865621307
266.32313505854495,266.1571534182214,265.5740680217527,265.0240464122094,264.5767361698601,264.2,263.87105917901783,263.58104695350545,263.3177861534176,263.07967844427804,262.66170114079466,262.29713386981166,261.9711782232413,261.6770417448895,261.4072855639908,261.1617610120151,260.70871030365004,260.3035952534996,259.93614555624146,259.2739731101075
268.74498880046343,268.594235240309,268.0594091374444,267.54632601636905,267.12229559237227,266.76,266.43985412587523,266.1545217960422,265.8934207759066,265.65542067762516,265.2339790691778,264.86405278092184,264.532575333815,264.23338767626916,263.95954126324216,263.7105931274455,263.254590090212,262.84972523184206,262.4844368323175,261.829553911566
271.1340849828166,270.99963575525646,270.5186954304566,270.05092687092775,269.6590528505149,269.32,269.0170549127194,268.7442098854292,268.4923781503876,268.2608386539649,267.84632321856054,267.4785137471722,267.14643380772884,266.8449820474156,266.5681388038916,266.3155677454079,265.85375158499846,265.4447621905811,265.07719034190296,264.42338756357765
272.2247302597846,272.1066299727739,271.6813796596182,271.26338481529336,270.9094093038115,270.6,270.32094254090026,270.0673172351459,269.8313675676374,269.612673980284,269.2168689466478,268.8613807332335,268.53721587760606,268.24036450328765,267.9658481249782,267.7136007234534,267.2504069704507,266.8383110356044,266.4672967596131,265.80946235598077
271.98662154420623,271.8873426560869,271.5281127899825,271.17213073605797,270.8680562956048,270.6,270.3562874009576,270.13299731797434,269.92375255643645,269.72833631952955,269.37085116732607,269.04564193687776,268.7456556316572,268.4679248064821,268.2085718073897,267.9677947049288,267.5212179581601,267.1188223338325,266.75287823706634,266.0988438704584
271.60274130741567,271.531866966377,271.27445332647915,271.0175875582166,270.7964765358956,270.6,270.41996885340046,270.25369008638074,270.0966956439244,269.9488976410049,269.6753207160827,269.4227257087506,269.1863926967976,268.9644617330795,268.75438392061426,268.55648158756924,268.1830391444065,267.8384912055161,267.51813715776603,266.9299567251733
