CO2factor0.0,CO2factor0.05,CO2factor0.25,CO2factor0.5,CO2factor0.75,CO2factor1.0,CO2factor1.25,CO2factor1.5,CO2factor1.75,CO2factor2.0,CO2factor2.5,CO2factor3.0,CO2factor3.5,CO2factor4.0,CO2factor4.5,CO2factor5.0,CO2factor6.0,CO2factor7.0,CO2factor8.0,CO2factor10.0
278.9433042082491,283.52546233420236,285.8073439113433,286.92252360698075,287.6597195031941,288.19999999999993,288.55828695047575,288.92547159862403,289.18692178432906,289.46410420888157,289.8635970422716,290.21151118778766,290.53321047777206,290.80096410007724,291.05279373325527,291.26935191851413,291.67006810874364,291.95723730955456,292.29530001996557,292.79923513424933
272.48821427013013,277.08031478336665,279.33267544817056,280.4371049924262,281.16324850889833,281.69999999999993,282.09210249726465,282.4654752863731,282.6824377759278,282.9631600066413,283.41154422882016,283.72098158657917,284.02657075539156,284.36089477655753,284.59266950951456,284.77513407169045,285.2257084389714,285.5159198616442,285.8340018939775,286.3243605045115
266.02641841245736,270.65859176714423,272.88816872343176,274.01914007642307,274.68936130184125,275.19999999999993,275.61280523960744,275.9867668581061,276.23399790224676,276.51791439485663,276.9103593755935,277.27522819624795,277.5539204338533,277.8798371579233,278.088459807076,278.337203808374,278.77142972057374,279.06772273312623,279.3754602935473,279.86637398651425
259.57118874841115,264.19726518737514,266.4600006346908,267.5780299032411,268.2589912311063,268.69999999999993,269.1268072565682,269.4924416515857,269.7616322882995,270.04132036317935,270.45999413725775,270.7654843726825,271.12156368406,271.44131651676486,271.61160004448885,271.84105344047293,272.26583256999237,272.5743588941944,272.8780289670108,273.3831075716982
253.13921241728067,257.74762414897344,260.0202617513397,261.0721558368023,261.747349724751,262.1999999999999,262.6312237608397,262.97693565477033,263.261862694239,263.5318412855938,263.9600342490573,264.29084918670634,264.6230687028402,264.9376267169212,265.1633375007303,265.36653152103077,265.7778868355445,266.10648682406696,266.4074728688612,266.94367065917925
246.5241726498197,251.1866231538447,253.5056483977253,254.58886899920148,255.24786483395644,255.6999999999999,256.12982177723893,256.45043195644837,256.74490805054864,257.00439448183016,257.4319655944527,257.77983759294426,258.06385101592235,258.37069671265243,258.66554385207314,258.81679458066236,259.20736518283417,259.55325184596717,259.850016773547,260.448234226171
239.94112155344752,244.69265258933697,247.00305125252504,248.11063278303232,248.74900231444892,249.19999999999987,249.6307553704122,249.9171997423697,250.22540740797,250.465660647167,250.88983505641596,251.25128871791352,251.62561599197178,251.9179168063264,252.15093354132904,252.37038064577877,252.71523272794798,253.07178471002285,253.36435373990133,253.90678708551766
233.31159611079894,238.15315018074025,240.44360903782538,241.62575540496476,242.24963608458432,242.69999999999993,243.14458429688952,243.38119315083443,243.71933336560176,243.94074214631934,244.359846558798,244.73999722786678,245.07823292075318,245.3517707329747,245.6812140058418,245.81012453152888,246.25298987946854,246.61930749896263,246.90038571841646,247.35689511978353
226.7452200544766,231.65180590534803,234.02121990876952,235.11974676488308,235.73615165288217,236.19999999999993,236.70311965384153,236.85578891829425,237.2642810164823,237.4700895187081,237.88373854889323,238.30209101665892,238.60962916387376,238.85974374260763,239.1578910267182,239.32806505634798,239.73284097964998,240.10753181928706,240.37596638451095,240.8813535230662
219.9827135420305,225.0251425598029,227.47056940670598,228.52726977851893,229.16890184972326,229.69999999999993,230.06697623955586,230.3374548417976,230.63267368860295,230.82235709239205,231.2472528666852,231.76566965912588,232.0527639452996,232.28167900655282,232.5488646765463,232.77812496441106,233.14851861647045,233.5408118878175,233.7950392851381,234.35864115313433
