N2Ofactor0.0,N2Ofactor0.05,N2Ofactor0.25,N2Ofactor0.5,N2Ofactor0.75,N2Ofactor1.0,N2Ofactor1.25,N2Ofactor1.5,N2Ofactor1.75,N2Ofactor2.0,N2Ofactor2.5,N2Ofactor3.0,N2Ofactor3.5,N2Ofactor4.0,N2Ofactor4.5,N2Ofactor5.0,N2Ofactor6.0,N2Ofactor7.0,N2Ofactor8.0,N2Ofactor10.0
286.0446393805607,286.2589227668113,286.87085939591935,287.46526822810284,287.91206556276796,288.19999999999993,288.43705331172123,288.61276380433935,288.78887587032574,288.990543658699,289.2443248528637,289.4468229361945,289.6753552764682,289.8221191409034,290.0040243252122,290.18118572179645,290.46488906830166,290.6867816913679,290.90352540260653,291.3299098189787
279.60177063715963,279.7724231184595,280.3920220736552,280.95843777213213,281.4298004040666,281.69999999999993,281.94148494358217,282.1200473435919,282.32977991087773,282.51786880480506,282.7753791663336,282.9852883155105,283.18965677568366,283.35914042881075,283.51968006250274,283.6898843487097,284.02795310393947,284.184801857967,284.4576667759314,284.84265051310655
273.1261932691113,273.2759840420058,273.8970133652148,274.502630980819,274.93594219215646,275.19999999999993,275.4538659334028,275.63815777262187,275.90530549881436,276.08364294883205,276.33919272316433,276.56020171603,276.7235356549161,276.9293491480784,277.05678765862916,277.21569062373686,277.5306835745956,277.7057004544412,277.95634309737517,278.4052954649206
266.67258083617446,266.82044779002257,267.4111211863648,268.0247205255101,268.4375714019076,268.69999999999993,268.98497598472073,269.1705699142358,269.4105745668862,269.5763700810251,269.83235684129403,270.0597990888034,270.28936278287824,270.4253144164664,270.62462085321096,270.7743024271228,271.06891236610034,271.26098583240747,271.49562545787313,271.9355375303755
260.1622295154777,260.3263611109119,260.96194833659195,261.51318083175835,261.9354466585809,262.1999999999999,262.5413966193253,262.7376409215258,262.9543414585398,263.10434504339946,263.36123460637776,263.5992875602554,263.79517891521914,263.9581458213846,264.138338360257,264.2793542359404,264.55650377972444,264.76711743606774,264.9907796144264,265.4399339141495
253.61901426230486,253.82574891479294,254.43298646215246,254.95692524311892,255.42674235272668,255.6999999999999,256.00794441127283,256.2096916935542,256.4094245742491,256.5457537270166,256.8027256701342,257.0695485898747,257.22690094882273,257.42206201052716,257.5892954884362,257.72089113958805,257.98177396976854,258.22046567799526,258.4343899849822,258.92865297853456
247.07359408303924,247.36794962214668,247.9817928697488,248.48993073437782,248.9063664569781,249.19999999999987,249.4805099724221,249.6995473022047,249.88341084783545,250.0079803243233,250.27094610697858,250.60131862160944,250.69748821759657,250.95625174847518,251.11127410093425,251.23597262958447,251.47840146344456,251.76426927073604,251.97170937741703,252.40907438081197
240.58065064216737,240.8431873103403,241.49292893476274,241.99714835181112,242.36980613451775,242.69999999999993,242.95786360240996,243.21729823744593,243.37815360735175,243.49619519871675,243.77697450846844,244.04464805291738,244.23575236594945,244.41803662561364,244.55836871406038,244.6739379802879,244.9123486288544,245.28680998746006,245.482119858408,245.87543945760825
234.04016425406272,234.28359046380152,234.97672875935723,235.48732285372824,235.8076700526639,236.19999999999993,236.44696878067427,236.78673180345322,236.944560492668,237.04164593317356,237.36596587178158,237.569678015913,237.68648961512136,237.98234377486816,238.1187331987408,238.23115859916675,238.45646064336972,238.7892547151592,238.9849994550113,239.33491389149384
227.44200623435037,227.65649034732598,228.40521165834917,228.92329417729204,229.17618268883663,229.69999999999993,229.93099426276362,230.16681840712062,230.31016174130673,230.40699521231934,230.84330839613614,230.93235965003387,231.20586562809368,231.46679401011062,231.59773349125214,231.71098838161961,231.92804119718437,232.23346750719483,232.42986554320862,232.72874771033372
221.26311419908637,221.41888982019805,222.21750233261474,222.7373862280819,222.83425149229979,223.29999999999995,223.52497527296273,223.94313395578217,224.0771251833902,224.17030607379212,224.52467355176702,224.72561289112522,224.9560735225817,225.18183526821105,225.3050352526707,225.41763211441918,225.64157054652622,225.93840727036792,226.13633844544074,226.37518761691413
214.87179177549982,214.87097634564927,215.70313109668746,216.192798094792,216.37687929888637,216.79999999999995,217.01586412963627,217.35818352076848,217.48780050093896,217.5785662175854,217.85325993702799,218.17663818282966,218.3859795246809,218.60180080453173,218.7294893080791,218.84470960577266,219.07115816517262,219.36299920979025,219.56992713210872,219.73158730110393
214.93625263305498,215.08312701460565,215.82718305604737,216.18165457719215,216.37125278279157,216.69999999999996,216.860881981228,217.10415571592594,217.1912382480651,217.24611471187524,217.30942389531754,217.79221165133163,217.93723613620858,218.10007884058604,218.1940148932908,218.2781842467812,218.4562388774374,218.69063531304218,218.8588491852704,218.76744589184705
215.52876988310146,215.7610494360684,216.2571918626104,216.31227368975627,216.47316543273297,216.69999999999996,216.78909340226065,216.93521984721616,216.96615097386416,216.97386789616013,217.3468316134128,217.59701850999238,217.66749127731308,217.7610438659838,217.8076071952606,217.85151152581312,217.95831787362096,218.12176510061667,218.24096145268587,218.2350161447413
215.20053628010936,215.50521906643692,216.23428515037438,216.44781920471252,216.5605958906185,216.7,216.7239338177872,216.79270904541653,216.77287692817177,216.73693635499197,216.87504124399527,216.99429519291567,217.00006760308844,217.03437204955495,217.03659555792248,217.04231062639568,217.08242757611998,217.18227364496093,217.25462804202112,217.2399399337744
215.19297793834713,215.53913907859462,216.34338865963664,216.5781393764083,216.63654789152807,216.69999999999996,216.66592494564756,216.67077318741505,216.60597097750565,216.53085597964423,216.54369775826555,216.5672615303668,216.51425247611317,216.49396267616262,216.45246877719111,216.4190997390068,216.38930573251923,216.4231623596241,216.44285989490166,216.37700265128234
215.2956500826282,215.6631029723375,216.48115260295654,216.695248083682,216.70048229904475,216.7,216.61731879565974,216.57070737048167,216.46869542743735,216.3610094497012,216.28569869386317,216.23474222650717,216.13052623260296,216.0615538982434,215.97927001432654,215.90837296110834,215.80947568248527,215.77723312336647,215.74136029509452,215.60323513661095
215.44494107018676,215.81900999052695,216.61671497385956,216.79430716129974,216.7521987189436,216.70000000000002,216.57893328282043,216.4923804308055,216.36150916670064,216.2285770548368,216.08809055566988,215.97927175392275,215.83291948228165,215.72284136677675,215.6051199389219,215.50084082150147,215.33866494632815,215.24438461165508,215.15432837735062,214.93637615925945
